,candidates,jobs,data_seed,dqn_seed,batch_size,gamma,epsilon,epsilon_min,epsilon_decay,learning_rate,total_reward,allocation
163,100,20,1,1,16,0.95,1,0.1,0.995,0.001,-362280,"   Woman  Man
0      4   11"
164,100,20,1,1,16,0.95,1,0.001,0.985,0.0005,-362280,"   Woman  Man
0      4   11"
165,100,20,1,1,16,0.95,1,0.001,0.985,0.001,-435489,"   Woman  Man
0      5   11"
166,100,20,1,1,16,0.95,1,0.001,0.995,0.0005,-427798,"   Woman  Man
0      2   13"
167,100,20,1,1,16,0.95,1,0.001,0.995,0.001,-362280,"   Woman  Man
0      4   11"
168,100,20,1,1,16,0.95,0.5,0.1,0.985,0.0005,-388483,"   Woman  Man
0      5   10"
169,100,20,1,1,16,0.95,0.5,0.1,0.985,0.001,-377871,"   Woman  Man
0      4   11"
170,100,20,1,1,16,0.95,0.5,0.1,0.995,0.0005,-364226,"   Woman  Man
0      3   12"
171,100,20,1,1,16,0.95,0.5,0.1,0.995,0.001,-362280,"   Woman  Man
0      4   11"
172,100,20,1,1,16,0.95,0.5,0.001,0.985,0.0005,-403875,"   Woman  Man
0      4   11"
173,100,20,1,1,16,0.95,0.5,0.001,0.985,0.001,-494133,"   Woman  Man
0      4   11"
174,100,20,1,1,16,0.95,0.5,0.001,0.995,0.0005,-384302,"   Woman  Man
0      4   11"
175,100,20,1,1,16,0.95,0.5,0.001,0.995,0.001,-364226,"   Woman  Man
0      3   12"
176,100,20,1,1,16,0.99,1,0.1,0.985,0.0005,-386317,"   Woman  Man
0      3   12"
177,100,20,1,1,16,0.99,1,0.1,0.985,0.001,-518890,"   Woman  Man
0      5   11"
178,100,20,1,1,16,0.99,1,0.1,0.995,0.0005,-375732,"   Woman  Man
0      3   12"
179,100,20,1,1,16,0.99,1,0.1,0.995,0.001,-365844,"   Woman  Man
0      3   12"
180,100,20,1,1,16,0.99,1,0.001,0.985,0.0005,-364226,"   Woman  Man
0      3   12"
181,100,20,1,1,16,0.99,1,0.001,0.985,0.001,-501504,"   Woman  Man
0      4   12"
182,100,20,1,1,16,0.99,1,0.001,0.995,0.0005,-364226,"   Woman  Man
0      3   12"
183,100,20,1,1,16,0.99,1,0.001,0.995,0.001,-384302,"   Woman  Man
0      4   11"
184,100,20,1,1,16,0.99,0.5,0.1,0.985,0.0005,-430159,"   Woman  Man
0      5   11"
185,100,20,1,1,16,0.99,0.5,0.1,0.985,0.001,-387555,"   Woman  Man
0      3   12"
186,100,20,1,1,16,0.99,0.5,0.1,0.995,0.0005,-434209,"   Woman  Man
0      4   12"
187,100,20,1,1,16,0.99,0.5,0.1,0.995,0.001,-488091,"   Woman  Man
0      4   12"
188,100,20,1,1,16,0.99,0.5,0.001,0.985,0.0005,-445870,"   Woman  Man
0      4   12"
189,100,20,1,1,16,0.99,0.5,0.001,0.985,0.001,-377991,"   Woman  Man
0      3   12"
190,100,20,1,1,16,0.99,0.5,0.001,0.995,0.0005,-397893,"   Woman  Man
0      4   11"
191,100,20,1,1,16,0.99,0.5,0.001,0.995,0.001,-362280,"   Woman  Man
0      4   11"
192,100,20,1,1,32,0.9,1,0.1,0.985,0.0005,-364149,"   Woman  Man
0      5   10"
193,100,20,1,1,32,0.9,1,0.1,0.985,0.001,-376002,"   Woman  Man
0      3   12"
194,100,20,1,1,32,0.9,1,0.1,0.995,0.0005,-364226,"   Woman  Man
0      3   12"
195,100,20,1,1,32,0.9,1,0.1,0.995,0.001,-362280,"   Woman  Man
0      4   11"
196,100,20,1,1,32,0.9,1,0.001,0.985,0.0005,-362280,"   Woman  Man
0      4   11"
197,100,20,1,1,32,0.9,1,0.001,0.985,0.001,-376002,"   Woman  Man
0      3   12"
198,100,20,1,1,32,0.9,1,0.001,0.995,0.0005,-362280,"   Woman  Man
0      4   11"
199,100,20,1,1,32,0.9,1,0.001,0.995,0.001,-376002,"   Woman  Man
0      3   12"
200,100,20,1,1,32,0.9,0.5,0.1,0.985,0.0005,-364226,"   Woman  Man
0      3   12"
201,100,20,1,1,32,0.9,0.5,0.1,0.985,0.001,-364226,"   Woman  Man
0      3   12"
202,100,20,1,1,32,0.9,0.5,0.1,0.995,0.0005,-362280,"   Woman  Man
0      4   11"
